product_id,category,product_name,brand_name,manufacturer,brand,manufacturer_confidence,goods_no,data_source,ml_display,ml_estimated_total,volume_unit,price_regular,price_sale,price_per_10ml,raw_ingredient_text
bodyLotionCream_01,bodyLotionCream,[5년연속1위] 일리윤 세라마이드 아토 로션기획(600ML+600ML),일리윤,(주)코스비전,(주)아모레퍼시픽,high,,olive_crwl_products,,,,,,,"정제수, 글리세린, 프로판다이올, 하이드로제네이티드쌀겨오일, 사이클로펜타실록세인, 하이드로제네이티드폴리(C6-14올레핀), 사이클로헥사실록세인, 다이메티콘, 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 부틸렌글라이콜, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 스테아릭애씨드, 글리세릴스테아레이트, 팔미틱애씨드, 베헤닐알코올, C12-20알킬글루코사이드,. 글리세릴카프릴레이트, 아라키딜글루코사이드, 인삼수, 다이소듐이디티에이, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 폴리솔베이트60, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 65.5ppm), 만니톨, 글루코오스, 검정콩오일, 미리스틱애씨드, 아크릴레이트/암모늄메타크릴레이트코폴리머, 아라키딕애씨드, 세라마이드엔피(4ppm), 콜레스테롤, 실리카, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물"
bodyLotionCream_02,bodyLotionCream,[7월 올영픽/NEW]일리윤 세라마이드 아토 선로션 330ml,일리윤,(주)씨엔에프,(주)아모레퍼시픽,high,,olive_crwl_products,,,,,,,"정제수, 다이부틸아디페이트, 프로판다이올, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 글리세린, 폴리글리세릴-3다이스테아레이트, 트로메타민, 디에칠아미노하이드록시벤조일헥실벤조에이트, 1,2-헥산다이올, C12-15알킬벤조에이트, 폴리메틸실세스퀴옥세인, 폴리실리콘-15, 다이메티콘, 트레할로오스, 글리세릴스테아레이트, 베타인, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 포타슘세틸포스페이트, 세테아릴알코올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 폴리프로필실세스퀴옥세인, 하이드록시아세토페논, 카보머, 글리세릴스테아레이트시트레이트, 메틸프로판다이올, 에틸헥실글리세린, 폴리에터-1, 부틸렌글라이콜, 인삼수, 황금추출물, 매실추출물, 검정콩오일, 하이드로제네이티드레시틴, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 세틸-피지하이드록시에틸팔미타마이드, 스테아릭애씨드, 만니톨, 세라마이드엔피, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 콜레스테롤, 실리카, 아라키딕애씨드, 카놀라오일, 팔미틱애씨드, 로즈마리잎추출물, 올레익애씨드, 토코페롤"
bodyLotionCream_03,bodyLotionCream,[7월 올영픽/심으뜸PICK]넛세린 아로마 넛 괄사 세럼 단품/기획 4종 택1,넛세린,"㈜그린코스, ㈜씨아이티",㈜지니씨앤씨,high,,olive_crwl_products,,,,,,,"[슬림핏 괄사 세럼]
정제수, 해바라기씨오일(18 %), 부틸렌글라이콜, 글리세레스-26, 나이아신아마이드, 시어버터, 폴리글리세릴-6스테아레이트, 1,2-헥산다이올, 마카다미아씨오일(1 %), 프로판다이올, 라벤더오일(4,000 ppm), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 자몽껍질오일(3,000 ppm), 포타슘세틸포스페이트, 하이드로제네이티드팜글리세라이즈, 폴리글리세릴-6베헤네이트, 트로메타민, 에틸헥실글리세린, 오렌지껍질오일(900 ppm), 팔마로사오일(800 ppm), 베르가모트오일(500 ppm), 아데노신, 센티드제라늄꽃오일(400 ppm), 소듐하이알루로네이트, 발삼코파이바수지(200 ppm), 화이트참파카잎오일(100 ppm), 캐모마일꽃오일(60 ppm), 생강오일(20 ppm), 오렌지꽃오일(20ppm), 타임추출물(10 ppm), 살비아추출물(10 ppm), 파스향나무잎추출물(10 ppm), 지모뿌리추출물(10 ppm), 마트리카리아꽃추출물(10 ppm), 쿼세틴, 캠페롤, 카페인, 스위트아몬드오일(330 ppb), 블루탄지꽃오일(0.1 ppm), 커피콩추출물, 하이드롤라이즈드익스텐신, 시트랄, 제라니올, 리날룰, 시트로넬올, 리모넨

[쿨링 괄사 세럼]
정제수,변성알코올,글리세린,멘톨,나이아신아마이드,다이프로필렌글라이콜,1,2-헥산다이올,알지닌,카보머,피이지-60하이드로제네이티드캐스터오일,카프릴릴글라이콜,세틸에틸헥사노에이트,메틸다이아이소프로필프로피온아마이드,캠퍼,향료,아데노신,구기자추출물,육두구추출물,해바라기씨오일(34ppm),마카다미아씨오일(33ppm),스위트아몬드오일(33ppm),아세틸글루코사민,다이메틸설폰,멘톤글리세린아세탈,자일리톨,부틸렌글라이콜,개박하추출물,청색1호,라벤더꽃추출물,치자추출물,유칼립투스잎추출물,페퍼민트추출물,마그네슘클로라이드,진주추출물,포타슘클로라이드,고수추출물,샤프란꽃추출물,소두구씨추출물,에틸헥실글리세린,회향씨추출물"
bodyLotionCream_04,bodyLotionCream,[5초뿌리는바디로션] 히든 퍼퓸 스프레이 바디로션 기획/단품 10종,히든,(주)비앤비코리아,(주)이삼오구,high,,olive_crwl_products,,,,,,,"정제수, 자일리톨, 아이소프로필미리스테이트, 글리세린, 1,2-헥산다이올, 폴리글리세릴-10다이아이소스테아레이트, 세테아릴알코올, 향료, 다이메티콘, 글리세릴스테아레이트, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 병풀잎수, 알란토인, 판테놀, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이소듐이디티에이, 잔탄검, 부틸렌글라이콜, 시트릭애씨드, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드완두콩단백질, 하이드롤라이즈드감자단백질, 하이드롤라이즈드쌀단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드밀단백질, 알파-아이소메틸아이오논, 쿠마린, 벤질벤조에이트, 아밀신남알, 제라니올, 하이드록시시트로넬알, 시트로넬올, 유제놀, 리모넨, 리날룰"
bodyLotionCream_05,bodyLotionCream,일리윤 세라마이드 아토 로션 (600ml/600ml기획),일리윤,(주)아모레퍼시픽,,확인 필요,,olive_crwl_products,,,,,,,"정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물"
skinToner_01,skinToner,[단독기획] 원씽 병풀추출물 150ml 더블 기획 (+병풀 수딩 마스크 2매),원씽,(주)바이온셀,(주)원씽,high,,olive_crwl_products,,,,,,,"원씽 병풀추출물 150ml: 병풀잎수(94%), 부틸렌글라이콜, 1,2 -헥산다이올, 병풀추출물(1%)
원씽 병풀 수딩 마스크팩 20ml: 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드록시아세토페논, 알란토인, 병풀잎수(990ppm), 알지닌, 아크릴레이트 /C10-30알킬아크릴레이트크로스폴리머, 프로판다이올, 다이소듐이디티에이, 덱스트린, 카카오추출물, 병풀추출물(100 ppm), 판테놀, 올리브오일, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 하이드로제네이티드레시틴, 스쿠알란, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 다이메틸실란올하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이 모늄하이알루로네이트, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트, 세라마이드엔피, 콜레스테롤, 피토스핑고신"
skinToner_02,skinToner,[화잘먹/단독기획] 폴라초이스 바하 리퀴드 엑스폴리언트 118ml 기획 (+바하 리퀴드 30ml),폴라초이스,(주)잉글우드랩코리아,폴라초이스 코리아,high,,olive_crwl_products,,,,,,,"정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드(0.5%), 흰버드나무껍질추출물(0.5%), 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인, 소듐파이테이트, 10-하이드록시데카노익애씨드, 알란토인, 다이포타슘글리시리제이트, 카프릴릴글라이콜, 페녹시에탄올, 클로페네신, 소듐하이드록사이드, 1,2-헥산다이올, 소듐하이알루로네이트, 비에이치티"
skinToner_03,skinToner,[NEW] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+늘어나는 화장솜 60매),토리든,㈜에이텍,㈜토리든,high,,olive_crwl_products,,,,,,,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린"
skinToner_04,skinToner,[한정기획] 아누아 어성초 77 히알루론산 수분 진정 토너 350ml 더블기획 (+어성초 크림 20ml),아누아,한국콜마(주),㈜더파운더즈,high,,olive_crwl_products,,,,,,,"[토너] 약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트(1.1ppm), 약모밀소포(750ppb), 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트(100ppb), 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트(10ppb), 하이드롤라이즈드하이알루로닉애씨드(10ppb), 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드(2.5ppb), 소듐하이알루로네이트크로스폴리머(1ppb), 포타슘하이알루로네이트(0.2ppb)
[크림] 약모밀꽃/잎/줄기수(77%), 나이아신아마이드(1,000 ppm), 1,2-헥산다이올, 판테놀, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 소듐시트레이트, 징크피씨에이(10 ppm), 프로판다이올, 트레할로오스, 정제수, 베타인, 잔탄검, 스핑고모나스발효추출물, 에틸헥실글리세린, 시트릭애씨드, 하이드록시프로필사이클로덱스트린, 아데노신, 다이소듐이디티에이, 다이포타슘글리시리제이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 글루코노락톤, 도코사헥사에노익애씨드, 토코페롤, 알란토인, 피리독신에이치씨엘, 카프릴로일살리실릭애씨드, 약모밀소포, 아이소쿼시트린, 쿼세틴"
skinToner_05,skinToner,[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml),브링그린,코스맥스(주),씨제이올리브영주식회사,high,,olive_crwl_products,,,,,,,"정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검"
